resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-create-publicvm","7640774","7640773","7640729","2013-03-26T13:33:57.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","openstack-create-publicvm","7695269","7695268","7641142","2013-04-02T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.267846 s ping 30.045325 s warnings 1 ssh 30.978523 s destroy 0.61137 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7695920","7695919","7641142","2013-04-02T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.315375 s ping 30.040925 s warnings 1 ssh 31.023142 s destroy 0.545609 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7696584","7696583","7641142","2013-04-02T23:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.340678 s ping 30.046276 s warnings 1 ssh 33.283329 s destroy 0.572759 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7697250","7697249","7641142","2013-04-03T02:56:11.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 64.051322 s ping 30.044448 s warnings 1 ssh 31.024753 s destroy 2.889246 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7697898","7697897","7641142","2013-04-03T05:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.319186 s ping 30.044216 s warnings 1 ssh 30.978775 s destroy 0.892331 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7698558","7698557","7641142","2013-04-03T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.223142 s ping 30.034258 s warnings 1 ssh 30.998218 s destroy 0.611916 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7699424","7699423","7641142","2013-04-03T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.240949 s ping 30.025959 s warnings 1 ssh 30.98204 s destroy 0.65925 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7700333","7700332","7641142","2013-04-03T14:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.390735 s ping 30.033345 s warnings 1 ssh 31.020164 s destroy 0.567721 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7701259","7701258","7641142","2013-04-03T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.24032 s ping 30.03507 s warnings 1 ssh 31.026985 s destroy 0.558969 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7702183","7702182","7641142","2013-04-03T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.314763 s ping 30.034702 s warnings 1 ssh 30.980354 s destroy 0.596869 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7703105","7703104","7641142","2013-04-03T23:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.479205 s ping 30.028351 s warnings 1 ssh 30.985099 s destroy 0.604056 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7704041","7704040","7641142","2013-04-04T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.199918 s ping 30.033132 s warnings 1 ssh 31.002166 s destroy 0.58015 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7704943","7704942","7641142","2013-04-04T05:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.296111 s ping 30.039319 s warnings 1 ssh 30.998453 s destroy 1.984558 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7705862","7705861","7641142","2013-04-04T08:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.298682 s ping 30.033327 s warnings 1 ssh 31.039463 s destroy 0.562935 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7706766","7706765","7641142","2013-04-04T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.31913 s ping 30.03341 s warnings 1 ssh 30.945386 s destroy 0.586475 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7707684","7707683","7641142","2013-04-04T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.421167 s ping 30.033503 s warnings 1 ssh 30.913605 s destroy 0.564983 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7708597","7708596","7641142","2013-04-04T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.255659 s ping 30.033489 s warnings 1 ssh 30.981295 s destroy 0.646702 s","Success"
