resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-storage","7640747","7640746","7640725","2013-03-26T13:31:24.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7678155","7640746","7640725","2013-03-31T10:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7678467","7640746","7640725","2013-03-31T11:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7678790","7640746","7640725","2013-03-31T12:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7679105","7640746","7640725","2013-03-31T13:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7679421","7640746","7640725","2013-03-31T14:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7679740","7640746","7640725","2013-03-31T15:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7680063","7640746","7640725","2013-03-31T16:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7680375","7640746","7640725","2013-03-31T17:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7680699","7640746","7640725","2013-03-31T18:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7681019","7640746","7640725","2013-03-31T19:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7681329","7640746","7640725","2013-03-31T20:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7681652","7640746","7640725","2013-03-31T21:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7681975","7640746","7640725","2013-03-31T22:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7682289","7640746","7640725","2013-03-31T23:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7682605","7640746","7640725","2013-04-01T00:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7682928","7640746","7640725","2013-04-01T01:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7683251","7640746","7640725","2013-04-01T02:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7683571","7640746","7640725","2013-04-01T03:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7683895","7640746","7640725","2013-04-01T04:22:01.000-04:00","Success","","search_output","Success"
